accuracy,auprc,auroc,fn,fp,macro_f1,method,n,negative_count,negative_f1,negative_precision,negative_recall,positive_count,positive_f1,positive_precision,positive_recall,target,tn,tp
0.775,0.1908504691298516,0.4874835309617918,20,16,0.48571428571428565,structured_extraction,160,138,0.8714285714285713,0.8591549295774648,0.8840579710144928,22,0.09999999999999999,0.1111111111111111,0.09090909090909091,rule_correctness_binary,122,2
0.8,0.10004966074195952,0.4722222222222222,15,17,0.47346770876182637,structured_extraction,160,144,0.888111888111888,0.8943661971830986,0.8819444444444444,16,0.058823529411764705,0.05555555555555555,0.0625,evidence_binary,127,1
0.22929936305732485,0.8932835949762173,0.5370437956204379,120,1,0.22917427470075066,structured_extraction,157,20,0.2389937106918239,0.1366906474820144,0.95,137,0.21935483870967742,0.9444444444444444,0.12408759124087591,edit_validity_binary,19,17
0.74375,0.647595413179247,0.6502704530087897,40,1,0.6494040938485383,surface_keyword,160,102,0.831275720164609,0.7163120567375887,0.9901960784313726,58,0.4675324675324675,0.9473684210526315,0.3103448275862069,faithfulness_binary,101,18
0.71875,0.6897208853017142,0.6484375,45,0,0.6339789537898429,surface_keyword,160,96,0.810126582278481,0.6808510638297872,1.0,64,0.4578313253012048,1.0,0.296875,edit_alignment_binary,96,19
0.76875,0.18908684217758698,0.48386034255599475,20,17,0.48247224407727946,surface_keyword,160,138,0.8673835125448028,0.8581560283687943,0.8768115942028986,22,0.0975609756097561,0.10526315789473684,0.09090909090909091,rule_correctness_binary,121,2
0.79375,0.09892867142317112,0.46875,15,18,0.4706766917293233,surface_keyword,160,144,0.8842105263157894,0.8936170212765957,0.875,16,0.05714285714285714,0.05263157894736842,0.0625,evidence_binary,126,1
0.2356687898089172,0.895974270464484,0.5406934306569343,119,1,0.23563777994157742,surface_keyword,157,20,0.24050632911392408,0.13768115942028986,0.95,137,0.23076923076923078,0.9473684210526315,0.13138686131386862,edit_validity_binary,19,18
0.83125,0.8057753942121221,0.8198106828938472,23,4,0.800286625676113,surface_leak_score,160,102,0.8789237668161435,0.8099173553719008,0.9607843137254902,58,0.7216494845360825,0.8974358974358975,0.603448275862069,faithfulness_binary,98,35
0.81875,0.8342065211318531,0.8225911458333334,27,2,0.7924030244731779,surface_leak_score,160,96,0.8663594470046082,0.7768595041322314,0.9791666666666666,64,0.7184466019417476,0.9487179487179487,0.578125,edit_alignment_binary,94,37
0.66875,0.18381700404564025,0.502635046113307,18,35,0.463257168175201,surface_leak_score,160,138,0.7953667953667954,0.8512396694214877,0.7463768115942029,22,0.13114754098360654,0.10256410256410256,0.18181818181818182,rule_correctness_binary,103,4
0.68125,0.08953709473310938,0.4344618055555556,14,37,0.4401372212692968,surface_leak_score,160,144,0.8075471698113208,0.8842975206611571,0.7430555555555556,16,0.07272727272727274,0.05128205128205128,0.125,evidence_binary,107,2
0.3184713375796178,0.9061965447749013,0.5757299270072993,103,4,0.30939362795477904,surface_leak_score,157,20,0.2302158273381295,0.13445378151260504,0.8,137,0.38857142857142857,0.8947368421052632,0.24817518248175183,edit_validity_binary,16,34
0.6625,0.4582083647788313,0.5344827586206896,54,0,0.4598649662415604,target_masked_reconstruction,160,102,0.7906976744186047,0.6538461538461539,1.0,58,0.12903225806451613,1.0,0.06896551724137931,faithfulness_binary,102,4
0.625,0.5056137006709236,0.53125,60,0,0.4397759103641457,target_masked_reconstruction,160,96,0.761904761904762,0.6153846153846154,1.0,64,0.11764705882352941,1.0,0.0625,edit_alignment_binary,96,4
0.85,0.21495656879760983,0.5118577075098815,21,3,0.49764521193092626,target_masked_reconstruction,160,138,0.9183673469387755,0.8653846153846154,0.9782608695652174,22,0.07692307692307693,0.25,0.045454545454545456,rule_correctness_binary,135,1
0.875,0.1036369217963147,0.4861111111111111,16,4,0.4666666666666667,target_masked_reconstruction,160,144,0.9333333333333333,0.8974358974358975,0.9722222222222222,16,0.0,0.0,0.0,evidence_binary,140,0
0.15286624203821655,0.8827915466773945,0.5145985401459854,133,0,0.14397573074242612,target_masked_reconstruction,157,20,0.23121387283236997,0.13071895424836602,1.0,137,0.05673758865248227,1.0,0.029197080291970802,edit_validity_binary,20,4
0.825,0.7860437909126717,0.7731575388776201,25,3,0.7891169271323668,target_masked_score,160,102,0.8761061946902654,0.7983870967741935,0.9705882352941176,58,0.7021276595744681,0.9166666666666666,0.5689655172413793,faithfulness_binary,99,33
0.8,0.8022301648477816,0.7582194010416666,30,2,0.7672727272727271,target_masked_score,160,96,0.8545454545454544,0.7580645161290323,0.9791666666666666,64,0.6799999999999999,0.9444444444444444,0.53125,edit_alignment_binary,94,34
0.6625,0.16751330901087239,0.4268774703557312,20,34,0.4314293235061859,target_masked_score,160,138,0.7938931297709925,0.8387096774193549,0.7536231884057971,22,0.06896551724137931,0.05555555555555555,0.09090909090909091,rule_correctness_binary,104,2
0.6875,0.08635656576194138,0.4090711805555556,15,35,0.42594718714121693,target_masked_score,160,144,0.8134328358208954,0.8790322580645161,0.7569444444444444,16,0.03846153846153846,0.027777777777777776,0.0625,evidence_binary,109,1
0.3248407643312102,0.8939108301027832,0.5655109489051094,104,2,0.31862102849656077,target_masked_score,157,20,0.2535211267605634,0.14754098360655737,0.9,137,0.38372093023255816,0.9428571428571428,0.24087591240875914,edit_validity_binary,18,33
